"";"ChampionID";"Role";"games_played";"kills";"deaths";"assists";"cs_at_15_min";"cs_at_end";"gold_at_15_min";"gold_at_end"
"307";"MonkeyKing";"top";15;2,2;2,93333333333333;3,93333333333333;93,8;219,866666666667;4188,33333333333;10697,0666666667
"308";"Mordekaiser";"jungle";1;1;5;2;119;186;5063;8197
"309";"Mordekaiser";"top";14;3,57142857142857;3,5;2,92857142857143;112,785714285714;229,714285714286;4806;11211,7142857143
"310";"Morgana";"jungle";4;1,75;3;8,75;84,75;210;4219;11336,5
"311";"Morgana";"support";1;1;1;3;14;22;2969;5862
"312";"Naafiri";"jungle";241;3,58091286307054;1,83402489626556;4,88381742738589;97,9128630705394;214,120331950207;4715,17842323651;11153,5020746888
"313";"Naafiri";"mid";5;5,6;2,2;4,8;119,6;255,6;4924,8;12593
"314";"Naafiri";"top";2;6,5;1,5;5;123,5;308;4625;15361,5
"315";"Nami";"support";14;0,571428571428571;1,71428571428571;10,1428571428571;19,0714285714286;28,0714285714286;3351,21428571429;7243,71428571429
"316";"Nasus";"mid";1;2;4;0;122;188;4868;8729
"317";"Nasus";"top";1;0;1;1;91;174;3783;7268
"318";"Nautilus";"jungle";1;1;4;6;79;140;4403;8256
"319";"Nautilus";"support";566;0,697879858657244;3,65194346289753;7,86572438162544;20,1289752650177;30,9611307420495;3170,44699646643;6890,21024734982
"320";"Nautilus";"top";4;0,75;3;3,5;95,75;158,25;4187;7482
"321";"Neeko";"jungle";1;2;3;3;92;141;4415;7727
"322";"Neeko";"mid";5;3,4;3,2;3,8;97,4;205,8;4018,8;9679
"323";"Neeko";"support";162;0,975308641975309;2,77777777777778;6,98765432098765;18,6728395061728;35,6234567901235;3312,30864197531;7340,40740740741
"324";"Neeko";"top";1;1;3;4;129;272;5058;13355
"325";"Nidalee";"jungle";99;2,95959595959596;1,45454545454545;5,52525252525253;100,323232323232;209,070707070707;4832,33333333333;10851,2121212121
"326";"Nidalee";"support";1;0;3;1;15;19;3736;5656
"327";"Nidalee";"top";15;3,53333333333333;2,4;3,2;121,666666666667;249,666666666667;5284,53333333333;12721,4
"328";"Nilah";"bottom";6;6,33333333333333;4;7,5;115,333333333333;307,666666666667;4500,33333333333;16535,1666666667
"329";"Nocturne";"jungle";181;2,64088397790055;2,70718232044199;5,4475138121547;94,5690607734807;194,513812154696;4583,75690607735;10305,5303867403
"330";"Nunu";"jungle";8;1,5;3;6,375;91,375;178,5;4316,125;9233,375
"331";"Olaf";"jungle";6;2,33333333333333;3,66666666666667;7;81,1666666666667;205;3685,83333333333;10787
"332";"Olaf";"top";34;3,02941176470588;3,05882352941176;3,41176470588235;108,088235294118;244,147058823529;4533,38235294118;11603,5
"333";"Orianna";"bottom";1;6;6;14;81;281;4157;17116
"334";"Orianna";"mid";270;2,64074074074074;2,07777777777778;5,96296296296296;118,244444444444;247,974074074074;4701,36666666667;11369,5777777778
"335";"Ornn";"bottom";1;0;1;5;102;230;3795;9193
"336";"Ornn";"mid";1;3;2;0;104;202;4610;9299
"337";"Ornn";"support";2;1;5,5;7,5;99;191,5;4222;9932,5
"338";"Ornn";"top";154;1,15584415584416;2,2012987012987;5,28571428571429;98,7402597402597;201,305194805195;4245,03896103896;9607,59090909091
"339";"Pantheon";"jungle";277;3,72202166064982;2,83393501805054;5,33935018050542;89,1480144404332;186,216606498195;4580,09386281588;10537,3935018051
"340";"Pantheon";"mid";6;3,83333333333333;3,83333333333333;6;97,1666666666667;214,833333333333;4544,33333333333;11173,1666666667
"341";"Pantheon";"support";49;2,3469387755102;4,14285714285714;5,97959183673469;18,1428571428571;31,0408163265306;3469,42857142857;7456,91836734694
"342";"Pantheon";"top";10;4,5;3;4,2;98,2;211,3;4537,5;11070,8
"343";"Poppy";"jungle";83;1,93975903614458;2,2289156626506;5,28915662650602;91,9759036144578;180,240963855422;4509,57831325301;9855,74698795181
"344";"Poppy";"support";197;1,08121827411168;3;6,9746192893401;19,7157360406091;31,6142131979695;3272,89847715736;7205
"345";"Poppy";"top";64;1,703125;2,171875;3,875;102,265625;217,09375;4280,671875;10342,40625
"346";"Pyke";"support";47;2,59574468085106;3,29787234042553;6,51063829787234;18,063829787234;37,4255319148936;3627,78723404255;7772,93617021277
"347";"Quinn";"top";2;1;3,5;3;95;227,5;4274;10524
"348";"Rakan";"support";558;0,43010752688172;2,32974910394265;8,20430107526882;18,9982078853047;32,0071684587814;3168,37455197133;7069,43548387097
"349";"RekSai";"jungle";4;2,75;3;4;80,75;172,25;4035;9801,25
"350";"Rell";"support";815;0,817177914110429;3,17546012269939;8,69815950920245;19,0380368098159;30,7055214723926;3111,55950920245;7119,08957055215
"351";"Renata";"support";201;0,522388059701492;2,60199004975124;7,16915422885572;19,547263681592;33,2437810945274;3218,80597014925;7034,69154228856
"352";"Renekton";"mid";7;2,85714285714286;2,71428571428571;6,57142857142857;122,714285714286;244,142857142857;5212,14285714286;11890,7142857143
"353";"Renekton";"top";281;2,21708185053381;2,46619217081851;3,14590747330961;111,245551601423;239,156583629893;4625,76512455516;11009,6370106762
"354";"Rengar";"jungle";1;1;4;1;103;149;4491;7205
"355";"Rengar";"top";1;4;0;1;128;180;5830;8330
"356";"Riven";"top";2;4,5;2,5;5;119;222,5;5505,5;11181
"357";"Rumble";"bottom";2;2,5;2,5;4;94,5;202,5;3987,5;9648,5
"358";"Rumble";"jungle";7;3,42857142857143;3;6,28571428571429;80,8571428571429;196;4223,42857142857;10678,4285714286
"359";"Rumble";"mid";1;3;3;9;134;284;6046;14356
"360";"Rumble";"top";526;2,59505703422053;2,6787072243346;4,35171102661597;109,325095057034;228,954372623574;4510,82509505703;10838,2737642586
"361";"Ryze";"mid";196;2,64795918367347;2,12755102040816;4,58163265306122;123,668367346939;261,147959183673;4913,54081632653;11602,3418367347
"362";"Ryze";"top";11;1,90909090909091;2,09090909090909;2,27272727272727;118,090909090909;251,909090909091;4616,09090909091;10654
"363";"Sejuani";"jungle";549;1,75774134790528;2,15482695810565;6,92896174863388;89,0054644808743;175,386156648452;4396,50455373406;9658,02550091075
"364";"Sejuani";"support";1;2;4;2;13;22;3829;4906
"365";"Sejuani";"top";5;2,6;3,8;8,4;103;221,8;4656,2;11148,6
"366";"Senna";"bottom";3;0,333333333333333;1,66666666666667;8,33333333333333;30,3333333333333;50,3333333333333;3817;7851
"367";"Senna";"support";17;1,11764705882353;2,47058823529412;8,88235294117647;16,0588235294118;37,6470588235294;3458;8497,76470588235
"368";"Seraphine";"bottom";8;2,125;1,125;5,625;117;245;4600,125;10610,25
"369";"Seraphine";"support";25;0,8;2,2;7,72;19,96;32,12;3165;6771,24
"370";"Sett";"mid";2;1,5;2,5;7;120;188;4996;8847,5
"371";"Sett";"support";1;1;6;11;28;35;3743;6351
"372";"Sett";"top";17;3,17647058823529;3,41176470588235;4,05882352941176;103,764705882353;222,294117647059;4648;11351,1764705882
"373";"Shaco";"jungle";1;8;0;4;60;145;4190;10302
"374";"Shen";"support";13;1,92307692307692;2,69230769230769;10,7692307692308;23,5384615384615;35,6153846153846;3490,76923076923;7332,61538461538
"375";"Shen";"top";18;1,83333333333333;1,94444444444444;6,5;102,944444444444;206,833333333333;4490,88888888889;10219,6666666667
"376";"Shyvana";"jungle";2;6;3;3,5;64,5;249;3017;13667,5
"377";"Singed";"top";1;0;2;0;0;168;500;6346
"378";"Sion";"bottom";5;1;1,8;5;105,8;198;4630,2;8889,2
"379";"Sion";"jungle";1;1;2;6;94;210;4477;11968
"380";"Sion";"mid";5;3;3,2;5,2;106,6;199,2;4637,6;10052,8
"381";"Sion";"top";264;1,60606060606061;2,20454545454545;4,61742424242424;108,606060606061;224,776515151515;4449,91287878788;10422,053030303
"382";"Sivir";"bottom";117;2,98290598290598;2;5,05128205128205;114,290598290598;296,521367521367;4669,71794871795;13008,7948717949
"383";"Sivir";"top";1;2;0;8;73;308;2938;12330
"384";"Skarner";"jungle";329;1,61702127659574;2,47720364741641;6,47112462006079;89,1306990881459;173,003039513678;4383,20364741641;9455,97568389058
"385";"Smolder";"bottom";12;4,16666666666667;2;3,25;121,25;295,333333333333;4775,58333333333;13226,75
"386";"Smolder";"mid";34;3,52941176470588;2,11764705882353;3,38235294117647;117,470588235294;281,911764705882;4848,64705882353;12880,2352941176
"387";"Smolder";"top";2;2,5;2,5;1;112,5;269,5;4648,5;11661
"388";"Sona";"support";1;3;1;1;18;27;2413;5408
"389";"Soraka";"support";7;0,285714285714286;2,28571428571429;6,85714285714286;16;26,2857142857143;3135;6889,42857142857
"390";"Swain";"bottom";4;3;2,5;6;103,25;219,5;4310,75;10538,5
"391";"Swain";"mid";18;3,22222222222222;2,27777777777778;6,72222222222222;114,388888888889;214,833333333333;4899,88888888889;10488,6111111111
"392";"Swain";"top";4;2;2,5;7,25;120,25;249,75;4633,5;12305
"393";"Sylas";"mid";211;2,93364928909953;2,22274881516588;4,55924170616114;110,57345971564;227,559241706161;4695,00473933649;10835,9763033175
"394";"Sylas";"top";6;1,33333333333333;3;4,33333333333333;108,5;216,666666666667;4932,16666666667;10311
"395";"Syndra";"mid";111;3,52252252252252;2,40540540540541;4,08108108108108;115,045045045045;252,054054054054;4675,09009009009;11902,0540540541
"396";"TahmKench";"bottom";1;0;3;0;124;206;4567;8871
"397";"TahmKench";"support";9;0,222222222222222;2,77777777777778;5,33333333333333;16,8888888888889;29,5555555555556;2790,77777777778;6784,33333333333
"398";"Taliyah";"bottom";5;3,4;2,4;5,6;106,4;251,4;4216,4;11653,8
"399";"Taliyah";"jungle";12;3,5;4,08333333333333;7,41666666666667;90,75;205,833333333333;4756,08333333333;11336,5833333333
"400";"Taliyah";"mid";485;2,71340206185567;2,29896907216495;5,79587628865979;118,651546391753;254,00412371134;4717,47010309278;11593,2412371134
"401";"Taric";"support";16;0,1875;2,8125;8,0625;23;35,625;2919,1875;6411,5625
"402";"Thresh";"support";32;0,875;2,8125;7,5;19,0625;30,125;3102,0625;6884,25
"403";"Tristana";"bottom";107;4;1,92523364485981;3,22429906542056;105,598130841121;247,14953271028;4601,51401869159;11738,4672897196
"404";"Tristana";"mid";101;3,64356435643564;2,2970297029703;3,0990099009901;116,19801980198;257,227722772277;4880,78217821782;12264,9504950495
"405";"Trundle";"jungle";8;2,5;1,875;9,125;70,25;188,125;3600,5;10712,625
"406";"Trundle";"top";2;3,5;5;6;107,5;270,5;5526;15409,5
"407";"Tryndamere";"mid";7;2,85714285714286;1,42857142857143;2,71428571428571;120,142857142857;250,571428571429;5501,85714285714;11726,2857142857
"408";"Tryndamere";"top";2;2,5;3;1,5;129,5;269;5148,5;12240,5
"409";"TwistedFate";"mid";4;2,5;1,25;4;119,25;233,25;5446,5;11434,75
"410";"Twitch";"bottom";11;4,63636363636364;2,72727272727273;4,09090909090909;102,909090909091;206,454545454545;4497,54545454545;10339,0909090909
"411";"Udyr";"jungle";1;0;1;10;90;232;4275;12573
"412";"Udyr";"top";32;1,25;2,59375;4,46875;104,3125;206,5625;4447,75;9843,5625
"413";"Urgot";"top";7;2,71428571428571;4;2,14285714285714;116,857142857143;203,571428571429;5001,28571428571;10283
"414";"Varus";"bottom";753;3,77822045152722;2,1460823373174;4,81938911022576;114,08764940239;269,318725099602;4722,71580345286;12403,8300132802
"415";"Varus";"mid";1;3;4;3;123;249;5216;11452
"416";"Varus";"top";6;4,5;2,33333333333333;3,33333333333333;124,5;278,166666666667;4956;13384,6666666667
"417";"Vayne";"bottom";5;4;1,8;3,4;98,2;212;4200,2;10413,6
"418";"Vayne";"top";4;3;3,75;2;101,75;207,75;4248,25;9757,25
"419";"Veigar";"bottom";1;3;2;1;117;282;4187;12003
"420";"Veigar";"mid";4;4,25;1;4;121;238,25;4889,75;11777
"421";"Veigar";"support";1;2;0;5;14;21;3268;5675
"422";"Velkoz";"bottom";1;1;1;5;110;242;4592;10100
"423";"Velkoz";"mid";8;3,25;2;3,25;80,5;212,75;3303,375;10062,375
"424";"Vex";"mid";9;4,44444444444444;2,55555555555556;4,55555555555556;109,666666666667;214,333333333333;4726,88888888889;10431,8888888889
"425";"Vex";"top";2;0,5;1;3,5;128;244,5;5054,5;10370
"426";"Vi";"jungle";569;2,43585237258348;2,70826010544815;6,17574692442882;91,1915641476274;190,857644991213;4434,92970123023;10305,7855887522
"427";"Vi";"top";3;4,33333333333333;6,66666666666667;3,33333333333333;99,6666666666667;278,333333333333;4265,66666666667;14394
"428";"Viego";"jungle";243;3,94238683127572;2,30452674897119;4,77366255144033;96,9917695473251;203,621399176955;4727,81069958848;10988,2139917695
"429";"Viego";"mid";2;4;1;5;124,5;215,5;5722;10368,5
"430";"Viktor";"bottom";2;2,5;4,5;6;89,5;178;3887,5;8989,5
"431";"Viktor";"mid";405;2,84691358024691;2,16049382716049;4,56296296296296;120,476543209877;255,804938271605;4717,64444444444;11633,6641975309
"432";"Vladimir";"mid";17;2,05882352941176;2,11764705882353;3,82352941176471;119,294117647059;238,470588235294;4800,35294117647;10462,0588235294
"433";"Vladimir";"top";14;2,85714285714286;2,57142857142857;2,71428571428571;117,714285714286;228,071428571429;4967,28571428571;10612,2142857143
"434";"Volibear";"jungle";20;2,65;3,2;3,55;85,25;155,8;4489,95;8663,1
"435";"Volibear";"top";13;2,46153846153846;3,07692307692308;3,38461538461538;108,307692307692;254,230769230769;4558,30769230769;12117
"436";"Warwick";"top";13;2,53846153846154;3,76923076923077;2,92307692307692;82,2307692307692;222,769230769231;3558,30769230769;11144
"437";"Xayah";"bottom";209;3,17703349282297;1,91866028708134;4,2200956937799;119,44019138756;286,741626794258;4909,44497607655;12591,6315789474
"438";"Xerath";"bottom";1;4;1;7;130;183;5461;8583
"439";"Xerath";"mid";14;4,42857142857143;2,07142857142857;6,07142857142857;108,642857142857;233,785714285714;4583,07142857143;11645,4285714286
"440";"Xerath";"top";1;2;2;8;83;251;4471;13437
"441";"XinZhao";"jungle";651;2,49155145929339;2,7926267281106;5,52227342549923;91,7634408602151;189,929339477727;4504,71428571429;10241,3164362519
"442";"Yasuo";"bottom";4;5,75;2,5;4;114,25;199,75;5641,5;10343,25
"443";"Yasuo";"mid";18;3,5;3,38888888888889;4,88888888888889;120,166666666667;264,555555555556;4782,27777777778;12429,7777777778
"444";"Yasuo";"top";9;1,22222222222222;3,22222222222222;2,22222222222222;111;261,666666666667;4541,88888888889;11435,2222222222
"445";"Yone";"mid";404;2,42574257425743;2,2450495049505;3,75247524752475;118,378712871287;266,413366336634;4714,50742574257;11803,7202970297
"446";"Yone";"top";15;2,6;3,73333333333333;2,73333333333333;101,8;242;4352,86666666667;11071,6666666667
"447";"Yorick";"jungle";1;2;2;0;85;124;4754;7055
"448";"Yorick";"top";52;1,55769230769231;2,38461538461538;2,55769230769231;112,942307692308;259,115384615385;4608,73076923077;11535,4807692308
"449";"Yuumi";"support";11;0,363636363636364;1,90909090909091;7,36363636363636;14,7272727272727;18,0909090909091;3181,81818181818;6084,72727272727
