"";"Parameter_2";"Parameter_type";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played.x";"Games_played.y"
"97";"AMI Decoy1";"Player";"Red";"top";-0,901114677747934;-0,881476150028634;-0,842445937713331;2,68980092819615;9,61409787454388;-765,764396189025;-110,975418233494;NA;2
"98";"AMI Lojaz";"Player";"Blue";"jungle";-4,26090088787172;6,3585784883982;-4,41140912968376;-9,80920256621142;-35,519307806077;-222,16037646586;-3541,25015416869;NA;5
"99";"AMI Lojaz";"Player";"Red";"jungle";-0,679636487316207;1,55381040574431;-1,14700045954654;-8,63373512870619;-20,5030342851944;-144,896734132803;-1592,91681299518;NA;7
"100";"AMI PhyMini";"Player";"Blue";"mid";-5,56088630727392;5,21555964899871;-0,956918068851529;-13,372514269348;-40,0398497242851;-575,433936501021;-3645,05862610949;NA;5
"101";"AMI PhyMini";"Player";"Red";"mid";-3,96534792605691;2,91310413465105;-2,59483085246556;-5,94824603507225;-9,25205165817064;-721,837167819817;-2061,3518623189;NA;7
"102";"AMI Pockus";"Player";"Blue";"support";-0,310636149384172;1,54586134971701;3,25212939243062;-1,9112594409798;-2,56162873927843;156,283302767406;-511,563499977383;NA;5
"103";"AMI Pockus";"Player";"Red";"support";1,63286139638799;1,00428887388937;1,75535229444;2,3944970696618;-3,50954912151883;340,707019853034;-227,336727111604;NA;7
"104";"Amumu";"Champion";"Blue";"jungle";-0,750878145537358;1,45335018478643;5,67589225292607;14,1716236459476;21,0149120310831;-471,643578295753;665,956717118434;12;NA
"105";"Amumu";"Champion";"Blue";"support";-1,03889189774137;4,01148640706354;-1,37568708087476;-0,0526954143420497;5,07404955501974;93,1285779313417;-190,601413568292;2;NA
"106";"Amumu";"Champion";"Red";"jungle";-0,321223469482442;0,822300566674839;0,525926305251487;-11,6906416653354;-20,116481903176;-318,375956235026;-623,606079699515;8;NA
"107";"Amumu";"Champion";"Red";"support";0,26795488406625;-0,462704938005129;0,219515193128161;2,38143548179972;-1,25279344270721;110,174213892036;60,5336211176284;5;NA
"108";"ANB Ajwad";"Player";"Blue";"jungle";3,28313937845681;-0,776225483447316;11,0470652632567;-20,878398397937;2,83817889289456;-515,251583399418;1178,71040887723;NA;2
"109";"ANB alex234";"Player";"Blue";"jungle";4,01292302590811;-0,771014231146295;9,25968748379327;-16,8640023235069;-10,1026736937756;-286,662118725479;1288,36668493148;NA;8
"110";"ANB alex234";"Player";"Red";"jungle";3,83183132843012;-3,16692486231051;11,0974447085667;-14,2993823508538;13,6382146203901;-789,015448943844;2673,27322577513;NA;14
"111";"ANB Annie Bot";"Player";"Blue";"mid";1,07784899515655;-5,574105244103;4,443965416553;-16,7802202659954;-23,7213048724281;507,904889190317;-2898,79353649227;NA;3
"112";"ANB B Butcher";"Player";"Blue";"support";5,02008433640576;-12,1306735611375;31,2215218937293;-0,734670871798843;4,89662451320045;1234,20979702193;4576,18138978326;NA;8
