"";"Role";"BlueTeamChampion";"RedTeamChampion";"PatchVersion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage";"blue_side_kills_advantage_advantage";"blue_side_deaths_advantage_advantage";"blue_side_assists_advantage_advantage";"blue_side_cs_at_15_min_advantage_advantage";"blue_side_cs_at_end_advantage_advantage";"blue_side_gold_at_15_min_advantage_advantage";"blue_side_gold_at_end_advantage_advantage"
"2509";"jungle";"XinZhao";"Vi";"15.8.674.6483";2;2;3,5;3;96,5;162;4903,5;8427;2,5;0,5;11;106;179,5;5188;9452,5;-0,5;3;-8;-9,5;-17,5;-284,5;-1025,5;-0,5;3;-8;-9,5;-17,5;-284,5;-1025,5
"2510";"jungle";"XinZhao";"Vi";"15.8.675.448";13;2,23076923076923;3,30769230769231;5,61538461538461;94,5384615384615;192,615384615385;4410,76923076923;10349,5384615385;3,38461538461538;2,07692307692308;5,92307692307692;93,7692307692308;201,769230769231;4520,76923076923;10978,4615384615;-1,15384615384615;1,23076923076923;-0,307692307692308;0,769230769230759;-9,15384615384616;-110;-628,923076923078;-1,15384615384615;1,23076923076923;-0,307692307692308;0,769230769230759;-9,15384615384616;-110;-628,923076923078
"2511";"jungle";"XinZhao";"Viego";"15.1.649.4112";3;2,66666666666667;1,66666666666667;6,66666666666667;92;214;4449,66666666667;11249,6666666667;3;2,66666666666667;3,66666666666667;96;187;4562;10094,6666666667;-0,333333333333333;-1;3;-4;27;-112,333333333333;1155;-0,333333333333333;-1;3;-4;27;-112,333333333333;1155
"2512";"jungle";"XinZhao";"Viego";"15.2.652.6393";2;1;3,5;7;101;209,5;4539;10933,5;5;2,5;6;107;210,5;5244,5;12171;-4;1;1;-6;-1;-705,5;-1237,5;-4;1;1;-6;-1;-705,5;-1237,5
"2513";"jungle";"XinZhao";"Viego";"15.2.653.8382";2;1,5;1,5;7;80;154;4275;7826;1;1,5;4,5;83,5;147;4268,5;7289,5;0,5;0;2,5;-3,5;7;6,5;536,5;0,5;0;2,5;-3,5;7;6,5;536,5
"2514";"jungle";"XinZhao";"Viego";"15.3.659.3416";1;1;0;4;98;157;4330;8445;0;1;0;101;168;4466;7480;1;-1;4;-3;-11;-136;965;1;-1;4;-3;-11;-136;965
"2515";"jungle";"XinZhao";"Viego";"15.4.657.5386";1;0;5;0;109;179;4617;7653;6;0;6;102;186;5733;11142;-6;5;-6;7;-7;-1116;-3489;-6;5;-6;7;-7;-1116;-3489
"2516";"jungle";"XinZhao";"Viego";"15.4.658.6996";2;1,5;1;4;94;145;4661;7437,5;3;1,5;3;107;153;5230;7940,5;-1,5;-0,5;1;-13;-8;-569;-503;-1,5;-0,5;1;-13;-8;-569;-503
"2517";"jungle";"XinZhao";"Viego";"15.5.662.5311";1;1;1;11;91;227;4703;12548;6;3;2;94;268;4152;14782;-5;-2;9;-3;-41;551;-2234;-5;-2;9;-3;-41;551;-2234
"2518";"jungle";"XinZhao";"Viego";"15.7.670.1561";2;5;3;5,5;87,5;204,5;4760,5;11524;2;3;2;100;245,5;4820,5;11204,5;3;0;3,5;-12,5;-41;-60;319,5;3;0;3,5;-12,5;-41;-60;319,5
"2519";"jungle";"XinZhao";"Viego";"15.7.671.9073";3;3,66666666666667;1,66666666666667;9,33333333333333;94,6666666666667;172;5025,33333333333;10436,3333333333;1,66666666666667;4,33333333333333;1;95,6666666666667;180;4381,66666666667;8855,66666666667;2;-2,66666666666667;8,33333333333333;-1;-8;643,666666666666;1580,66666666667;2;-2,66666666666667;8,33333333333333;-1;-8;643,666666666666;1580,66666666667
"2520";"jungle";"XinZhao";"Viego";"15.8.674.6483";1;1;5;9;94;242;5008;11924;8;4;4;96;269;5531;14866;-7;1;5;-2;-27;-523;-2942;-7;1;5;-2;-27;-523;-2942
"2521";"jungle";"XinZhao";"Viego";"15.8.675.448";3;4;0,666666666666667;5,33333333333333;101;198,666666666667;5547,33333333333;10576,6666666667;3;2,33333333333333;3,66666666666667;94,3333333333333;174,666666666667;4665;9269;1;-1,66666666666667;1,66666666666667;6,66666666666667;24;882,333333333333;1307,66666666667;1;-1,66666666666667;1,66666666666667;6,66666666666667;24;882,333333333333;1307,66666666667
"2522";"jungle";"XinZhao";"Volibear";"15.1.645.7528";1;1;2;10;100;204;4842;11557;3;3;5;109;201;5598;10465;-2;-1;5;-9;3;-756;1092;-2;-1;5;-9;3;-756;1092
"2523";"jungle";"XinZhao";"Zyra";"15.2.652.6393";1;2;1;2;82;200;4600;9545;2;3;10;82;200;4323;10386;0;-2;-8;0;0;277;-841;0;-2;-8;0;0;277;-841
"2524";"jungle";"XinZhao";"Zyra";"15.2.653.8382";2;1,5;4;4,5;73,5;138,5;3973,5;7843;5;1;6;117,5;212;5184,5;11456;-3,5;3;-1,5;-44;-73,5;-1211;-3613;-3,5;3;-1,5;-44;-73,5;-1211;-3613
"2525";"jungle";"XinZhao";"Zyra";"15.3.655.330";1;0;2;2;110;142;4716;6991;1;0;5;123;198;4944;8931;-1;2;-3;-13;-56;-228;-1940;-1;2;-3;-13;-56;-228;-1940
"2526";"jungle";"XinZhao";"Zyra";"15.3.659.3416";1;3;3;11;99;237;4232;14502;2;3;6;96;250;4655;13031;1;0;5;3;-13;-423;1471;1;0;5;3;-13;-423;1471
"2527";"jungle";"XinZhao";"Zyra";"15.5.662.5311";1;1;0;1;85;187;4227;9308;3;1;0;97;219;4415;9742;-2;-1;1;-12;-32;-188;-434;-2;-1;1;-12;-32;-188;-434
"2528";"jungle";"XinZhao";"Zyra";"15.6.667.3303";1;2;4;2;99;184;4417;9930;1;3;7;113;231;4816;11193;1;1;-5;-14;-47;-399;-1263;1;1;-5;-14;-47;-399;-1263
"2529";"jungle";"XinZhao";"Zyra";"15.7.671.9073";3;3;1;4,66666666666667;98,6666666666667;223,666666666667;4541;11965,6666666667;2;2,33333333333333;5,33333333333333;111,666666666667;263;4669,33333333333;13187,6666666667;1;-1,33333333333333;-0,666666666666666;-13;-39,3333333333333;-128,333333333333;-1222;1;-1,33333333333333;-0,666666666666666;-13;-39,3333333333333;-128,333333333333;-1222
"2530";"jungle";"XinZhao";"Zyra";"15.8.675.448";2;3;5,5;4;81,5;209;4262;11534;6,5;2,5;7,5;127,5;277,5;6512,5;14427,5;-3,5;3;-3,5;-46;-68,5;-2250,5;-2893,5;-3,5;3;-3,5;-46;-68,5;-2250,5;-2893,5
"2531";"jungle";"Zac";"Maokai";"15.6.667.3303";1;6;1;4;75;206;3402;11586;6;2;1;82;194;4596;11084;0;-1;3;-7;12;-1194;502;0;-1;3;-7;12;-1194;502
"2532";"jungle";"Zac";"MonkeyKing";"15.2.653.8382";1;3;1;8;93;172;4620;10108;8;2;7;78;182;4110;12356;-5;-1;1;15;-10;510;-2248;-5;-1;1;15;-10;510;-2248
"2533";"jungle";"Zac";"Pantheon";"15.7.671.9073";1;4;3;2;93;190;4688;10335;8;2;3;117;221;5406;12418;-4;1;-1;-24;-31;-718;-2083;-4;1;-1;-24;-31;-718;-2083
"2534";"jungle";"Zac";"Sejuani";"15.8.675.448";1;4;11;18;80;185;4244;11935;6;5;24;82;185;4574;14313;-2;6;-6;-2;0;-330;-2378;-2;6;-6;-2;0;-330;-2378
"2535";"jungle";"Zac";"XinZhao";"15.2.653.8382";1;2;1;6;92;237;4175;12640;1;4;4;94;208;4419;11540;1;-3;2;-2;29;-244;1100;1;-3;2;-2;29;-244;1100
"2536";"jungle";"Zed";"Ivern";"15.5.662.5311";1;3;1;3;116;222;5029;10263;2;3;4;87;177;4861;9707;1;-2;-1;29;45;168;556;1;-2;-1;29;45;168;556
"2537";"jungle";"Zed";"JarvanIV";"15.8.675.448";1;6;4;4;103;201;5366;12586;3;1;12;116;225;5593;12004;3;3;-8;-13;-24;-227;582;3;3;-8;-13;-24;-227;582
"2538";"jungle";"Zed";"Naafiri";"15.7.671.9073";1;3;0;5;115;237;4746;11615;2;2;2;117;198;4622;9649;1;-2;3;-2;39;124;1966;1;-2;3;-2;39;124;1966
"2539";"jungle";"Zed";"Pantheon";"15.7.671.9073";1;2;4;2;119;218;5242;10234;4;0;8;89;197;5602;11696;-2;4;-6;30;21;-360;-1462;-2;4;-6;30;21;-360;-1462
"2540";"jungle";"Zyra";"Diana";"15.2.653.8382";1;3;0;7;114;203;5740;10080;1;4;1;94;142;5146;8235;2;-4;6;20;61;594;1845;2;-4;6;20;61;594;1845
"2541";"jungle";"Zyra";"Diana";"15.3.655.330";1;0;2;2;81;167;3722;7252;2;1;3;88;191;4289;9023;-2;1;-1;-7;-24;-567;-1771;-2;1;-1;-7;-24;-567;-1771
"2542";"jungle";"Zyra";"DrMundo";"15.7.670.1561";1;1;2;2;91;227;4316;10795;5;0;5;97;268;4864;13167;-4;2;-3;-6;-41;-548;-2372;-4;2;-3;-6;-41;-548;-2372
"2543";"jungle";"Zyra";"DrMundo";"15.7.671.9073";1;1;5;4;0;151;500;7958;3;2;5;0;201;500;10323;-2;3;-1;0;-50;0;-2365;-2;3;-1;0;-50;0;-2365
"2544";"jungle";"Zyra";"FiddleSticks";"15.2.653.8382";1;4;5;14;103;244;4216;12949;6;7;9;87;225;4388;13858;-2;-2;5;16;19;-172;-909;-2;-2;5;16;19;-172;-909
"2545";"jungle";"Zyra";"Ivern";"15.4.658.6996";1;2;3;11;91;233;4516;13057;2;4;12;61;174;4395;11488;0;-1;-1;30;59;121;1569;0;-1;-1;30;59;121;1569
"2546";"jungle";"Zyra";"Ivern";"15.5.662.5311";1;9;1;10;86;221;4807;14756;2;6;6;61;151;3362;9916;7;-5;4;25;70;1445;4840;7;-5;4;25;70;1445;4840
"2547";"jungle";"Zyra";"Ivern";"15.8.675.448";1;2;0;2;123;208;5579;9892;0;1;4;73;126;4161;7038;2;-1;-2;50;82;1418;2854;2;-1;-2;50;82;1418;2854
"2548";"jungle";"Zyra";"JarvanIV";"15.6.667.3303";1;3;1;5;96;145;4677;7378;1;6;2;74;105;4206;5513;2;-5;3;22;40;471;1865;2;-5;3;22;40;471;1865
"2549";"jungle";"Zyra";"JarvanIV";"15.7.671.9073";1;1;0;4;101;216;4545;10164;2;2;3;85;151;3708;8449;-1;-2;1;16;65;837;1715;-1;-2;1;16;65;837;1715
"2550";"jungle";"Zyra";"JarvanIV";"15.8.675.448";2;4;0,5;4;103;205,5;4626;10274,5;3;3,5;4,5;86;165,5;4481;9558,5;1;-3;-0,5;17;40;145;716;1;-3;-0,5;17;40;145;716
"2551";"jungle";"Zyra";"Karthus";"15.3.655.330";1;2;5;6;111;202;5085;10174;3;3;16;114;240;5423;12873;-1;2;-10;-3;-38;-338;-2699;-1;2;-10;-3;-38;-338;-2699
"2552";"jungle";"Zyra";"Karthus";"15.3.659.3416";1;2;4;5;108;194;5101;9960;5;3;10;113;244;5212;12659;-3;1;-5;-5;-50;-111;-2699;-3;1;-5;-5;-50;-111;-2699
"2553";"jungle";"Zyra";"Khazix";"15.3.655.330";1;2;2;1;92;208;4632;9971;4;1;4;96;231;4988;11325;-2;1;-3;-4;-23;-356;-1354;-2;1;-3;-4;-23;-356;-1354
"2554";"jungle";"Zyra";"Lillia";"15.1.649.4112";1;6;2;7;125;250;5306;14414;4;2;3;109;242;5267;13052;2;0;4;16;8;39;1362;2;0;4;16;8;39;1362
"2555";"jungle";"Zyra";"Lillia";"15.2.653.8382";1;2;2;6;93;312;4954;15069;4;1;6;112;375;4647;17694;-2;1;0;-19;-63;307;-2625;-2;1;0;-19;-63;307;-2625
"2556";"jungle";"Zyra";"Lillia";"15.3.655.330";1;9;1;7;104;297;5032;17267;0;1;7;120;328;4942;15399;9;0;0;-16;-31;90;1868;9;0;0;-16;-31;90;1868
"2557";"jungle";"Zyra";"Lillia";"15.3.659.3416";2;2;1,5;5;118;228;5642;11021;1,5;1;5;110,5;233,5;4914;10751;0,5;0,5;0;7,5;-5,5;728;270;0,5;0,5;0;7,5;-5,5;728;270
