"";"Abbr_1";"most_common_name_number_of_occurences";"RedTeamName"
"308";"SHG";45;"Fukuoka SoftBank HAWKS gaming"
"309";"SIC";15;"SICAR Esports"
"310";"SK";25;"SK Gaming"
"311";"SLY";45;"Solary"
"312";"SN";40;"Supernova"
"313";"SNSH";27;"Senshi eSports"
"314";"SPK";10;"Crvena zvezda Esports"
"315";"SPK";10;"SPIKE Syndicate"
"316";"SQG";30;"Spirit Quartz Gaming"
"317";"SR";30;"Shopify Rebellion"
"318";"SSE";25;"Hanoi Rookies Esports"
"319";"ST1";10;"Str1ve Esports"
"320";"STAR";60;"my star"
"321";"STE";35;"Stellae Gaming"
"322";"SUP";100;"Papara SuperMassive "
"323";"T1";115;"T1 Esports Academy"
"324";"TES";35;"TOPESPORTS"
"325";"TES369";20;"TOPESPORTS"
"326";"TESCreme";20;"TOPESPORTS"
"327";"TESCrisp";20;"TOPESPORTS"
"328";"TESJackeyLove";20;"TOPESPORTS"
"329";"TESKanavi";20;"TOPESPORTS"
"330";"TF";70;"Saigon Team Flash"
"331";"TH";70;"Team Heretics"
"332";"TL";65;"Team Liquid Honda"
"333";"TLN";60;"Talon"
"334";"TLNA";35;"Talon Academy"
"335";"TML";10;"Divernex"
"336";"TNI";25;"Tan'i eSports"
"337";"TOG";65;"TeamOrangeGaming"
"338";"TP";44;"Team Phantasma"
"339";"TPX";40;"Team Paradox"
"340";"TS";30;"Saigon Secret"
"341";"TSC";10;"BeFive"
"342";"TSC";10;"Team Secret Club"
"343";"TSW";45;"Team Secret Whales"
"344";"TT1xn";21;"THUNDERTALKGAMING"
"345";"TTBeichuan";20;"THUNDERTALKGAMING"
"346";"TTFeather";21;"THUNDERTALKGAMING"
"347";"TTHOYA";21;"THUNDERTALKGAMING"
"348";"TTSeTab";21;"THUNDERTALKGAMING"
"349";"TTxiaohuangren";1;"THUNDERTALKGAMING"
"350";"TTxiaohuangren";1;"Beijing JDG Intel Esports"
"351";"UCAM";50;"UCAM Esports"
"352";"ULF";50;"ULF ESPORTS"
"353";"UNIT";45;"Team UNiTY"
"354";"UP1Jiang";17;"Ultra Prime"
"355";"UPJunhao";17;"Ultra Prime"
"356";"UPRosielove";6;"Ultra Prime"
"357";"UPSaber";17;"Ultra Prime"
"358";"UPWako";17;"Ultra Prime"
"359";"UPXiaoxia";11;"Ultra Prime"
"360";"USE";60;"Unicorns of Love Sexy Edition"
"361";"UW";5;"Zena Esports"
"362";"UW";5;"Underworld Esports"
"363";"UW";5;"Axolotl Esports"
"364";"UW";5;"GMBLERS Esports"
"365";"V3";5;"V3 Esports"
"366";"V3";5;"DetonatioN FocusMe Academy"
"367";"VEL";5;"VeLocitY"
"368";"VER";45;"Verdant"
"369";"VIT";65;"Team Vitality"
"370";"VITB";45;"Vitality.Bee"
"371";"VK";5;"VARREL YOUTH"
"372";"VKS";40;"Vivo Keyd Stars"
"373";"VLY";50;"VARREL YOUTH"
"374";"VNC";40;"Venomcrest"
"375";"VVV";40;"Veni Vidi Vici"
"376";"WAP";15;"Wap Esports"
"377";"WBGBreathe";20;"WeiboGaming Faw Audi"
"378";"WBGErha";9;"WeiboGaming Faw Audi"
"379";"WBGHang";11;"WeiboGaming Faw Audi"
"380";"WBGLight";20;"WeiboGaming Faw Audi"
"381";"WBGTian";20;"WeiboGaming Faw Audi"
"382";"WBGXiaohu";20;"WeiboGaming Faw Audi"
"383";"WD";10;"White Dragons"
"384";"WECube";13;"Xi'an Team WE"
"385";"WEKaris";13;"Xi'an Team WE"
"386";"WEMonki";9;"Xi'an Team WE"
"387";"WETaeyoon";13;"Xi'an Team WE"
"388";"WETianzhen";4;"Xi'an Team WE"
"389";"WEVampire";13;"Xi'an Team WE"
"390";"WIN";5;"REJECT"
"391";"WIN";5;"We Can Win"
"392";"WLG";40;"WeLoveGaming"
"393";"WP";105;"West Point Esports"
"394";"WT";20;"wangting"
"395";"WU";25;"Winthrop University"
"396";"YYG";25;"Yang Yang Gaming"
"397";"Z10";105;"Zero Tenacity"
"398";"Z5";25;"Zeu5 Esports"
"399";"ZENA";55;"Zena Esports"
"400";"ZNT";55;"ZennIT"
"401";"ZTA";30;"ZETA Gaming"
"402";"ZZG";20;"ZeroZone Gaming"
