"";"Role";"BlueTeamChampion";"RedTeamChampion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage"
"1357";"support";"Alistar";"Braum";17;0,588235294117647;2,82352941176471;6,35294117647059;21,0588235294118;30,3529411764706;3102,41176470588;6444,58823529412;0,294117647058824;2,11764705882353;7,47058823529412;18,1176470588235;27,3529411764706;3318;6727,29411764706;0,294117647058824;0,705882352941177;-1,11764705882353;2,94117647058824;3;-215,588235294118;-282,705882352941
"1358";"support";"Alistar";"Elise";1;1;0;5;22;29;3579;5927;0;2;2;25;39;3461;5547;1;-2;3;-3;-10;118;380
"1359";"support";"Alistar";"FiddleSticks";1;1;4;4;9;18;3245;6386;1;3;8;17;28;3402;6681;0;1;-4;-8;-10;-157;-295
"1360";"support";"Alistar";"Gragas";2;0,5;2,5;2,5;22,5;26,5;3270,5;4820;0;1,5;5;17,5;24,5;3631;5351;0,5;1;-2,5;5;2;-360,5;-531
"1361";"support";"Alistar";"Janna";1;0;1;6;18;27;2488;8776;1;0;5;22;49;3019;8846;-1;1;1;-4;-22;-531;-70
"1362";"support";"Alistar";"Karma";3;1;2;7,66666666666667;22,3333333333333;34,6666666666667;3129;7735,33333333333;0;2,66666666666667;6;15,6666666666667;29;3213,66666666667;7422,33333333333;1;-0,666666666666667;1,66666666666667;6,66666666666667;5,66666666666666;-84,6666666666665;313
"1363";"support";"Alistar";"Leona";43;0,627906976744186;3,06976744186047;8,02325581395349;17,5581395348837;28,5116279069767;2912,53488372093;6898,76744186046;0,651162790697674;3,18604651162791;7,11627906976744;20,8139534883721;35,2325581395349;2951,41860465116;7014,86046511628;-0,0232558139534884;-0,116279069767442;0,906976744186046;-3,25581395348837;-6,72093023255814;-38,8837209302324;-116,093023255814
"1364";"support";"Alistar";"Lulu";6;0,666666666666667;1,66666666666667;5,66666666666667;17,3333333333333;25,3333333333333;3249;6538,16666666667;0,166666666666667;1,33333333333333;5;20,5;30,1666666666667;3310,83333333333;6393,5;0,5;0,333333333333333;0,666666666666667;-3,16666666666667;-4,83333333333334;-61,8333333333335;144,666666666667
"1365";"support";"Alistar";"Lux";1;0;1;1;18;20;3416;6784;0;0;2;29;42;3574;6718;0;1;-1;-11;-22;-158;66
"1366";"support";"Alistar";"Maokai";1;2;2;7;19;29;2523;6559;1;2;2;19;34;2427;5873;1;0;5;0;-5;96;686
"1367";"support";"Alistar";"Nautilus";54;0,592592592592593;3,46296296296296;8,72222222222222;18,4444444444444;28,9259259259259;3037,40740740741;6971,16666666667;0,537037037037037;3,68518518518519;8,25925925925926;20,7037037037037;32;3080,85185185185;7042,62962962963;0,0555555555555555;-0,222222222222222;0,462962962962962;-2,25925925925926;-3,07407407407407;-43,4444444444443;-71,4629629629626
"1368";"support";"Alistar";"Neeko";5;0,2;4,6;10,4;15,2;23,8;2638,2;6726,8;1,8;3,8;7,8;15,4;34,2;3078,2;7617,6;-1,6;0,8;2,6;-0,200000000000001;-10,4;-440;-890,8
"1369";"support";"Alistar";"Pantheon";2;1;3;7;23;30;3282;7170,5;1,5;2,5;5,5;17,5;29,5;3703,5;7287;-0,5;0,5;1,5;5,5;0,5;-421,5;-116,5
