"";"Champion";"Role";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end";"Side"
"96";"Taliyah";"mid";13;2,15384615384615;2,23076923076923;4,84615384615385;129,846153846154;252,615384615385;5071,76923076923;10905,2307692308;"Blue"
"97";"Taric";"support";2;0;4,5;2;30,5;42;3161;5718,5;"Blue"
"98";"Thresh";"support";1;0;2;7;15;20;3814;8708;"Blue"
"99";"Tristana";"bottom";1;2;2;4;125;268;5445;11932;"Blue"
"100";"TwistedFate";"mid";2;0,5;1,5;0,5;140;221;6247,5;9742;"Blue"
"101";"Udyr";"top";1;2;4;2;92;248;4372;12514;"Blue"
"102";"Varus";"bottom";17;2,35294117647059;1,76470588235294;4,17647058823529;133;280,294117647059;5219;12002,4117647059;"Blue"
"103";"Vayne";"top";1;1;6;0;105;206;4207;8914;"Blue"
"104";"Vi";"jungle";12;1,25;1,58333333333333;4,16666666666667;105,75;190,833333333333;4740,25;9346,41666666667;"Blue"
"105";"Viego";"jungle";9;3,55555555555556;2,44444444444444;3,77777777777778;108,444444444444;221,222222222222;4957,44444444444;11843,8888888889;"Blue"
"106";"Viktor";"mid";15;2,26666666666667;1,8;3,06666666666667;133;255,066666666667;5143,06666666667;10910,4666666667;"Blue"
"107";"Xayah";"bottom";12;2,5;2;3,83333333333333;133,833333333333;304,25;5287,41666666667;12636,6666666667;"Blue"
"108";"Xerath";"mid";2;2,5;1,5;2,5;136;237,5;5148,5;10329,5;"Blue"
"109";"XinZhao";"jungle";35;2,45714285714286;2,25714285714286;5,02857142857143;100,971428571429;194,371428571429;4787,91428571429;10248,3428571429;"Blue"
"110";"Yasuo";"mid";1;4;4;7;140;262;6208;12315;"Blue"
"111";"Yone";"mid";14;1,92857142857143;1,85714285714286;2,42857142857143;135;285,5;5112,14285714286;12074,2857142857;"Blue"
"112";"Yorick";"top";2;2;2,5;2,5;109;252,5;5125,5;11727;"Blue"
"113";"Zed";"jungle";1;3;0;5;115;237;4746;11615;"Blue"
"114";"Zeri";"bottom";7;4,14285714285714;0,857142857142857;3,57142857142857;135,857142857143;317,571428571429;5121,28571428571;13599,7142857143;"Blue"
"115";"Ziggs";"bottom";4;1,25;3;3;141,75;295,25;5257,5;11849;"Blue"
"116";"Zilean";"mid";2;0,5;1;6;133,5;201;4898,5;9053,5;"Blue"
"117";"Zyra";"jungle";7;1,85714285714286;3;4,57142857142857;109,571428571429;188,714285714286;4998,42857142857;9178,28571428571;"Blue"
"118";"Aatrox";"top";9;1,88888888888889;2;3,11111111111111;118,111111111111;229,555555555556;4841,11111111111;10454,5555555556;"Red"
"119";"Ahri";"mid";24;3,375;1,29166666666667;4,875;135,625;259,708333333333;5308,75;11773,7083333333;"Red"
"120";"Akali";"mid";3;5,66666666666667;1,66666666666667;1,66666666666667;122,333333333333;252,666666666667;5631,33333333333;12539,6666666667;"Red"
"121";"Alistar";"support";15;0,266666666666667;2,33333333333333;7,26666666666667;17,5333333333333;25,9333333333333;3215,26666666667;6561,13333333333;"Red"
"122";"Ambessa";"top";30;2,6;1,76666666666667;3,76666666666667;112;238,866666666667;4651,76666666667;11317,5666666667;"Red"
"123";"Anivia";"top";2;1,5;3;2;92,5;188,5;4296,5;8880;"Red"
"124";"Ashe";"bottom";16;2,625;2,25;5,6875;118,3125;233,9375;5024,0625;10680,6875;"Red"
"125";"Ashe";"support";1;1;2;4;15;36;3193;6300;"Red"
"126";"Aurora";"mid";16;2,1875;1,9375;3,625;129,1875;245,1875;4994,8125;10755,6875;"Red"
"127";"Aurora";"top";2;1,5;1;2,5;133,5;244,5;5553,5;10440;"Red"
"128";"Azir";"mid";21;1,52380952380952;1,42857142857143;3,19047619047619;136,761904761905;262,238095238095;5112,90476190476;10973,5714285714;"Red"
"129";"Bard";"support";4;0,25;2,5;7,25;20;39,5;3395,5;7678,75;"Red"
"130";"Blitzcrank";"support";1;0;6;5;22;26;3449;5359;"Red"
"131";"Brand";"jungle";1;3;4;11;126;276;5097;13761;"Red"
"132";"Braum";"support";11;0,181818181818182;1,90909090909091;9;18,1818181818182;25,3636363636364;3393,90909090909;6720,90909090909;"Red"
"133";"Caitlyn";"bottom";7;2,28571428571429;1,14285714285714;2,42857142857143;131,857142857143;324,428571428571;5391,14285714286;13743,1428571429;"Red"
"134";"Camille";"support";1;3;5;11;21;33;3517;8571;"Red"
"135";"Camille";"top";1;2;2;8;98;197;4170;9947;"Red"
"136";"Corki";"bottom";10;2,7;1,3;2,9;133,2;272,6;5300,2;11589,2;"Red"
"137";"Corki";"mid";10;2,4;1,9;3,7;137,6;275,8;5304,6;11920,5;"Red"
"138";"Elise";"support";15;1,4;2,66666666666667;6,06666666666667;18,8666666666667;33,6;3708,46666666667;7697;"Red"
"139";"Ezreal";"bottom";18;2,55555555555556;1,11111111111111;2,55555555555556;129,333333333333;269,611111111111;5145,27777777778;11443,3333333333;"Red"
