"";"Champion";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played"
"104";"Elise";"Blue";"support";0,922102450476002;0,417887857420321;-1,52947998152124;-1,54724451992579;4,18411809500263;459,294108994601;751,654136827893;36
"105";"Elise";"Red";"support";1,12098682053619;-0,336513381866722;-1,2819499292907;-0,391034303354991;6,15531562270467;353,933933723084;983,504319277163;48
"106";"Ezreal";"Blue";"bottom";1,09705021566442;-1,06655038112902;0,862691050422924;12,3503849069159;3,22602389648801;230,22535328433;1020,40304355147;421
"107";"Ezreal";"Blue";"mid";-1,87500624332106;5,18812284928885;-7,50796445551548;-27,0437253548937;-19,5888269264573;-1448,0874148245;-1794,44147019521;1
"108";"Ezreal";"Red";"bottom";-1,04709762217941;0,0908399006935138;-0,721249261983336;-0,683741399732076;-21,689009511611;-223,411372535824;-1377,86133328582;357
"109";"Ezreal";"Red";"mid";3,17347503824415;-3,55771691984244;0,857440339153453;25,3736262228698;45,5889678270113;908,149200557924;2387,267737369;6
"110";"FiddleSticks";"Blue";"support";0,32617533131358;-0,960270369803978;2,91676825897277;-3,88242605949026;-5,93287265926722;120,332746174766;859,501818350761;6
"111";"FiddleSticks";"Red";"jungle";1,9520454752567;1,43024492030732;-3,69129232253544;-7,03747023547478;-12,2195438548899;503,334051047648;1305,02274443362;1
"112";"FiddleSticks";"Red";"support";-0,491466732300655;-0,914764283689512;1,63689208060787;-3,98530594824688;-3,17900271077259;136,989212165376;191,361491716375;8
"113";"Fiora";"Blue";"mid";3,24697768698741;-0,337042637191301;0,810924484536416;-2,34617748580491;43,0563387860565;-113,370344564134;4094,1254425108;1
"114";"Fiora";"Blue";"top";1,00781192308088;-0,212612378982806;-1,63190297815918;6,85343591955987;17,2171219756378;554,038507826256;1655,64091722036;22
"115";"Fiora";"Red";"top";-0,266089275443885;0,622825424933212;-1,09810329405967;-2,80828171172939;25,199645065789;-371,930817726577;1335,86500623048;9
"116";"Galio";"Blue";"bottom";-0,497890542914873;-1,1951625364367;7,21930943464206;-22,4534855818997;-115,106026017408;-937,072204434189;-1586,4801338893;1
"117";"Galio";"Blue";"mid";-1,60018320858645;1,01804694288573;-0,224268014124005;-10,649540010686;-20,0906882592129;-393,252361702293;-1059,25214273508;80
"118";"Galio";"Blue";"support";1,00376361432317;-0,426139739990192;1,84379493231574;4,19065357140747;7,50829378781028;219,111297067652;750,276206927547;9
"119";"Galio";"Blue";"top";-0,880661024673523;0,765435692614813;1,62522754374363;-2,42567962015299;-14,7833852383428;-153,098812667556;-809,398177690713;51
"120";"Galio";"Red";"mid";2,47355564672246;-3,87623216300255;2,24647985959521;18,2786113264935;40,8156428962034;589,273582306249;2237,59621876279;75
"121";"Galio";"Red";"support";0,432233220787996;0,205993713742786;-1,45891734465618;4,16757881109347;9,36476932231878;86,1501502868712;367,300883388205;7
"122";"Galio";"Red";"top";-0,396530728265074;-0,149943149972501;2,47693779564876;-7,27699941048189;-24,1355066155621;-163,307627046415;-1052,64468562654;31
"123";"Gangplank";"Blue";"top";0,885347291777415;-1,70676922022193;2,49241995891398;9,10949540478525;13,9403990755785;728,650810399641;2108,40711726323;14
"124";"Gangplank";"Red";"top";-0,279726001120249;1,60403747796358;0,543849738669934;-15,5903760179772;5,61083571384871;-235,812710451712;1340,86416585224;9
"125";"Garen";"Blue";"top";-0,116535046130798;0,0960561706774779;-1,50373099289058;-0,878055486511762;17,0733581223192;4,62698061656942;981,751458279711;19
"126";"Garen";"Red";"top";1,05215080836921;-0,860542101910477;0,521301052654875;-5,98808657383194;17,3144637782682;-95,4222580503375;951,304755651534;9
"127";"Gnar";"Blue";"bottom";3,08284471290203;-1,93535249598918;-0,107447076520947;-23,0755944978895;-19,5360682926159;-471,785925979488;302,68062464834;1
"128";"Gnar";"Blue";"top";-0,230609394725126;-0,0634266562367238;-0,0172045982592922;5,18611864001145;12,1030166146184;183,726318004589;617,312584210916;162
"129";"Gnar";"Red";"top";0,488764450241068;-0,97089438938481;1,17440994047224;7,1999064302269;15,8212805409188;373,098627793484;1012,13381408624;115
"130";"Gragas";"Blue";"jungle";0,503096192835568;0,907841294473653;7,35534051812942;16,4293912258157;22,0287494572812;185,195960988604;1910,29424204518;1
"131";"Gragas";"Blue";"mid";0,354832996844265;-1,30205577993799;2,78197971745507;-7,79198579651731;-17,9748568094896;-64,3779097787849;111,119415037163;2
"132";"Gragas";"Blue";"support";0,31306930362415;-1,21017775516795;1,3575626801696;-1,96762355474791;-0,836921856162712;369,062388276206;265,912749139826;3
"133";"Gragas";"Blue";"top";-0,520836763368939;-0,0487291278295055;1,30851288748452;-2,902036196246;-9,54485975070225;-89,0777199214146;-268,377319857631;51
"134";"Gragas";"Red";"mid";2,74497354807101;-3,20892186508626;-3,43413122477004;4,35374976836742;14,2098460045099;-109,338149965419;912,585005710303;2
"135";"Gragas";"Red";"support";-0,192450083359374;-0,792405738567662;0,583541194683996;1,17851387624061;4,78738414724809;285,076506932764;635,307432683226;6
"136";"Gragas";"Red";"top";-0,316349834407103;-0,324122995574042;1,23555776412468;-9,58583687771387;-14,7527813484434;-185,362240364323;-435,806961403993;58
"137";"Graves";"Red";"jungle";4,07688566191588;-0,552791675309438;-2,4540954331848;11,79086707894;1,76660941890589;1121,84110364116;2276,04769214187;2
"138";"Gwen";"Blue";"jungle";-0,632455982645036;1,76441383252467;-1,82805524647308;16,0345595809601;41,8795349456889;-162,566641348144;1011,6431724236;4
"139";"Gwen";"Blue";"top";0,639768134407981;0,210068024444925;-0,147876279879959;5,47421246014973;9,18741120395605;219,882652474253;913,172731026664;82
"140";"Gwen";"Red";"jungle";2,31244263331287;-1,30344313191634;0,451166064462228;10,353334042322;36,9000272708138;456,137215249744;2409,15366541498;16
"141";"Gwen";"Red";"top";0,773849810970126;-0,384104427782002;0,0205177565986126;0,216481990712623;7,96846178951331;82,9285772112368;848,827449769881;148
"142";"Hecarim";"Blue";"jungle";4,11228193679743;-1,39082553568674;5,4506307061908;27,7785251058155;90,4325831425738;874,734172474252;4520,99398998157;3
"143";"Hecarim";"Red";"jungle";0,969284020318338;-3,38343745113957;4,21548965497297;30,0272140093622;45,9954165902953;936,797556295328;1970,14410570128;3
"144";"Hwei";"Blue";"bottom";2,5785584031488;0,769599341290788;0,93302771192381;9,95399537753161;10,6489705655403;389,135241843451;2197,61111830602;1
"145";"Hwei";"Blue";"mid";-0,572806781034652;0,549174166479146;-0,15297730893398;2,09199815039119;-6,44089384193498;-61,2568382119763;-324,779869522646;104
"146";"Hwei";"Blue";"support";-0,837002733672279;2,55841994270522;-6,73760019205014;0,858811716790094;4,35101235559548;1141,97340982906;-267,842533669557;1
"147";"Hwei";"Red";"bottom";-1,88877669536357;3,32401998286054;0,819568776125025;-2,40494807181463;-31,3831979616893;-321,758702910558;-1644,43740825681;2
"148";"Hwei";"Red";"mid";2,79534717223379;-3,99085195988225;1,72206527295269;28,0977504030854;56,1409530338969;920,602920757411;2817,60707464474;74
"149";"Irelia";"Blue";"mid";-0,585945085943275;2,02981510033886;-4,30474412179976;-4,46263574844125;10,1600467900721;-93,2043494364932;-503,888797066096;8
"150";"Irelia";"Blue";"top";1,04110679744696;1,02531520453132;-2,04407573749537;22,6046201542644;39,888690081454;644,451942679223;1968,18213072599;11
"151";"Irelia";"Red";"mid";0,22657795973488;-0,53918952581125;-6,56444462494115;47,6247888122982;97,7593041101444;1274,64392687037;3205,47077625181;1
"152";"Irelia";"Red";"top";-0,0317666791704407;1,10731475351515;-2,93762069585167;14,743111751214;39,1370921956379;521,225117613543;1194,88592606884;4
"153";"Ivern";"Blue";"jungle";-2,14468837793668;-0,663140371929264;6,02461730689484;3,47191525994873;-7,65476163614889;-106,093636683657;-148,960279780131;56
"154";"Ivern";"Red";"jungle";-1,47895663554832;-0,710212863684512;3,05031556038951;-12,3242092382428;-39,353193510712;-56,6172419897261;-453,999083471591;48
"155";"Janna";"Blue";"support";0,274267204455647;-1,96729014251392;6,1361516969886;-3,19705210001661;-1,52837715700851;-42,7147186413796;309,971726235313;6
"156";"Janna";"Red";"support";-0,148172197695906;-0,0239007532241373;-0,804000734193367;2,41091720390965;7,54077725932764;447,745834260231;353,372079919158;7
"157";"JarvanIV";"Blue";"jungle";-1,77853439092021;0,833459372067293;4,97244811984817;12,011786363648;6,34740785982568;-80,2349545808345;-94,7398342372449;40
"158";"JarvanIV";"Red";"jungle";-0,327055875826027;-0,373677846401408;3,2829044019001;-1,98033262770585;-18,9098701899339;66,0655716145624;28,6214045938254;50
"159";"Jax";"Blue";"jungle";0,27866350219526;1,49010578349574;1,30041860790137;1,92187578095405;17,8056843577287;-7,07240955423664;814,806630995157;6
"160";"Jax";"Blue";"top";0,0861616911794283;0,179243890058351;-0,686181803472558;-4,31232121505523;-3,61086694814227;-41,6875021746572;389,813337749168;119
"161";"Jax";"Red";"jungle";0,181111012034398;-2,48682971586548;3,20076344742357;1,03880600640042;7,66315956048309;164,827661667942;839,344822673376;10
"162";"Jax";"Red";"top";0,383589235705803;-0,524401948428297;0,213332212138188;-4,95210389427799;-1,9776660640419;-38,0729527782169;516,248660407868;140
"163";"Jayce";"Blue";"mid";-0,778514710556898;1,01003527135336;-0,837038386480591;1,37374233669832;9,83931713274556;-116,328439420671;128,10452547139;40
"164";"Jayce";"Blue";"top";0,266737823277008;0,275690444391078;-0,413092313511312;8,95992310542841;17,1359377016937;295,158490418171;743,965210162195;180
"165";"Jayce";"Red";"mid";3,68926626643552;-3,80625844849556;1,18859032543267;27,386994705066;62,7532517051011;962,258451876849;3487,58416381486;59
"166";"Jayce";"Red";"top";0,0196936359790397;-0,245486862354426;1,16391873768553;6,46262139296218;20,823941640361;245,837355040977;846,441556697108;270
"167";"Jhin";"Blue";"bottom";1,83056729304418;-1,35824811734644;1,38851643789664;10,4832068360123;2,65744584511031;261,522897131572;1169,04038528472;178
"168";"Jhin";"Red";"bottom";-0,717234531322729;-0,0128944362296296;-0,349638227129547;-1,84164048972729;-24,6466698242067;-281,353804476318;-1343,95792743087;153
"169";"Jinx";"Blue";"bottom";1,35361277813577;-0,700034961665807;1,2643173560413;10,82815011403;14,7314457465641;146,484581862741;1324,7944911411;79
"170";"Jinx";"Red";"bottom";-1,03998271898493;0,35605431117401;-0,530051440124343;-3,27315526818439;-9,3805928698122;-318,414430399513;-1068,53284251959;76
"171";"Kaisa";"Blue";"bottom";2,27849397453068;-1,18203643551269;0,442298143374524;7,94591627174078;6,94905000069339;191,070365896668;1614,13186814792;235
"172";"Kaisa";"Blue";"mid";7,54161491083371;0,149358198730969;-4,78714725463364;27,367618861023;75,6556031245211;1455,43557347957;5199,17983539244;1
"173";"Kaisa";"Blue";"top";3,85519217136988;-0,837801619345909;8,41537091445704;5,08218563170469;60,922856338035;-402,394872594431;4571,041261434;1
"174";"Kaisa";"Red";"bottom";0,351971664314619;-0,164573867441614;-0,540322462769066;-2,38562643811729;-15,6002130659285;-194,314666036969;-505,55213731977;237
"175";"Kalista";"Blue";"bottom";1,87292522669791;-0,826615883819316;0,328569143275049;17,1500377082545;5,99724260927127;470,077304773227;1445,53680513826;101
"176";"Kalista";"Blue";"top";-0,161536492163785;2,96973145638612;-0,0670434580290088;6,85382508710901;0,0777630620394694;333,881676909344;-99,8230115073289;1
"177";"Kalista";"Red";"bottom";-0,29288482785047;0,626559714657532;-1,39202100483509;0,999545876275567;-18,4018339161715;19,045119893398;-891,23711062816;119
"178";"Karma";"Blue";"mid";0,379512676259021;-0,0542088083277538;2,45761998490432;4,62037757963352;-4,01270537482252;-27,4946809923655;362,000918880224;13
"179";"Karma";"Blue";"support";0,376992121831193;-1,28428937773457;1,51874636548557;-1,73392472592826;1,78959922161849;356,032808945549;676,450485228163;58
"180";"Karma";"Blue";"top";-2,09723385664609;1,6946311080454;-3,39536921177685;10,9585841571771;-11,2576530378405;-384,738977666699;-1466,0104056356;5
"181";"Karma";"Red";"mid";3,4040239566689;-4,02999158708218;1,4152276023851;22,5936843191049;33,6375652654655;658,738910779424;2726,99579278341;11
"182";"Karma";"Red";"support";-0,317888427295928;-0,130646521716699;0,651268731834775;-0,616006262702311;2,61458809405098;115,971277740972;211,531548846523;41
"183";"Karma";"Red";"top";-3,5069113265608;0,921846114024238;3,72378523365628;-0,936660022329243;-50,741131866627;-183,951250201348;-2458,24959539314;3
