"";"Parameter";"Parameter_type";"Role";"Side";"Kills above expected per game";"Deaths above expected per game";"Assists above expected per game";"CSAt15Min above expected per game";"CSAtEnd above expected per game";"GoldAt15Min above expected per game";"GoldAtEnd above expected per game";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end"
"297";"T1 Doran";"Player";"top";"Red";0,883070191242123;-1,33708249666462;3,42272560451358;-3,34878152996716;17,0168754885087;123,727090208114;792,524765672734;15;1,93333333333333;2,26666666666667;4,66666666666667;119,6;240,466666666667;5015,2;11342
"298";"T1 Faker";"Player";"mid";"Blue";0,350487242486911;-1,01579728432884;1,97370089065717;2,14069660113439;8,78284365726381;-9,87925570702804;638,434924024449;22;1,5;1,90909090909091;3,31818181818182;129,227272727273;253,954545454545;4905,40909090909;10620,6363636364
"299";"T1 Faker";"Player";"mid";"Red";1,68520757794878;-0,31364690626311;0,559526257764279;-3,69423569249205;8,09920219204067;89,1593944740734;807,148303962879;15;2,53333333333333;1,4;4,66666666666667;131,2;258,933333333333;5038,4;11659,2
"300";"T1 Gumayusi";"Player";"bottom";"Blue";-0,107429632189856;-0,249790568386835;-0,228396558908973;-2,83067940371936;5,15256368433446;-87,0828800674864;357,773959250487;12;2,75;1,75;3,33333333333333;133,333333333333;279,416666666667;5403,5;11914,3333333333
"301";"T1 Gumayusi";"Player";"bottom";"Red";1,31406401868912;0,352591856622986;1,84706049852316;12,5250374711233;-10,628859804301;600,864630550283;-185,794336689518;7;3;1,71428571428571;4,71428571428571;133,714285714286;303,142857142857;5353,71428571429;13521,2857142857
"302";"T1 Keria";"Player";"support";"Blue";0,0368904394943178;-0,455066980056526;3,69948978174751;5,49403550276792;5,62979300089124;210,457398713898;681,494426965675;22;0,727272727272727;2,40909090909091;5,86363636363636;20,7272727272727;32,9090909090909;3418,59090909091;6797,22727272727
"303";"T1 Keria";"Player";"support";"Red";-0,0914210307050068;-3,18123296468556;7,02439626278245;1,98630230937459;4,82434854990782;168,60448915494;581,466384549347;15;0,733333333333333;1,53333333333333;8,33333333333333;18,9333333333333;31,2666666666667;3559,26666666667;7349,46666666667
"304";"T1 Oner";"Player";"jungle";"Blue";2,15030712861745;-0,535425576070761;1,45660447316585;10,7602746549765;36,6978385140293;298,546715507943;1758,32211912792;22;2,63636363636364;2,04545454545455;4,18181818181818;105,090909090909;200,181818181818;4903,90909090909;10306,4090909091
"305";"T1 Oner";"Player";"jungle";"Red";2,20266928164423;-1,38572728658807;2,90542277059502;11,7466233021346;38,9334364608177;372,893244148898;1713,63613306222;15;3,06666666666667;1,66666666666667;6,13333333333333;110,333333333333;209,733333333333;5250,93333333333;11069,1333333333
"306";"T1 Smash";"Player";"bottom";"Blue";0,583773773271333;-0,665832731385458;3,03244234733767;5,06949085239181;13,1995229731541;410,043792673442;900,052653581523;10;2,3;2;3,7;120,1;275;5005,5;11769,4
